"id","portail_id","portail_libelle","role","organisation","module_id","module_code","module_libelle","routes","donnees_visibles","theme","responsable_propose","sources","nb_routes_candidates","niveau_preuve","statut","test_ui","baseline","version_source","limite"
"PM-airport-international_markets","POR-airport","Expéditions","airport","Profil et organisation autoritatifs; aucun tenant choisi par UI","LOT-international_markets","international_markets","Marchés internationaux","/fx-rates | /gold-prices","Périmètre candidat du registre frontend; RLS/RPC et permissions effectives NON vérifiés","airport; primary=#0F7A56; sidebar=#1B2A3A; prescrit=false","Lot international_markets","src/PrivateApp.tsx:1239 | src/PrivateApp.tsx:1248 | src/components/layout/portalThemes.ts | src/lib/platformModuleCatalog.ts | src/lib/routeAccessRegistry.ts","2","DETECTION_AUTOMATIQUE; identité des 13 types relue statiquement; couples modules non audités","À INVENTORIER","NON EXÉCUTÉ","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe","Association de politique ≠ accès réel; admin module_codes et Owner transversal hors liste brute; aucune validation UI/serveur"
"PM-airport-reports","POR-airport","Expéditions","airport","Profil et organisation autoritatifs; aucun tenant choisi par UI","LOT-reports","reports","Rapports institutionnels","/reports","Périmètre candidat du registre frontend; RLS/RPC et permissions effectives NON vérifiés","airport; primary=#0F7A56; sidebar=#1B2A3A; prescrit=false","Lot reports","src/PrivateApp.tsx:1626 | src/components/layout/portalThemes.ts | src/lib/platformModuleCatalog.ts | src/lib/routeAccessRegistry.ts","1","DETECTION_AUTOMATIQUE; identité des 13 types relue statiquement; couples modules non audités","À INVENTORIER","NON EXÉCUTÉ","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe","Association de politique ≠ accès réel; admin module_codes et Owner transversal hors liste brute; aucune validation UI/serveur"
"PM-airport-shipping","POR-airport","Expéditions","airport","Profil et organisation autoritatifs; aucun tenant choisi par UI","LOT-shipping","shipping","Expéditions","/freight | /freight-customs | /freight-customs/:id | /freight-customs/create | /freight/shipments/:id | /freight/shipments/create | /shipping | /shipping/preparation | /shipping/preparation/:id | /shipping/preparation/:id/details | /shipping/preparation/:id/edit | /shipping/preparation/edit/:id | /shipping/preparation/new","Périmètre candidat du registre frontend; RLS/RPC et permissions effectives NON vérifiés","airport; primary=#0F7A56; sidebar=#1B2A3A; prescrit=false","Lot expéditions","src/PrivateApp.tsx:1266 | src/PrivateApp.tsx:1275 | src/PrivateApp.tsx:1284 | src/PrivateApp.tsx:1293 | src/PrivateApp.tsx:1302 | src/PrivateApp.tsx:1311 | src/PrivateApp.tsx:1320 | src/PrivateApp.tsx:1329 | src/PrivateApp.tsx:1338 | src/PrivateApp.tsx:1347 | src/PrivateApp.tsx:1356 | src/PrivateApp.tsx:1365 | src/PrivateApp.tsx:1392 | src/components/layout/portalThemes.ts | src/lib/platformModuleCatalog.ts | src/lib/routeAccessRegistry.ts","13","DETECTION_AUTOMATIQUE; identité des 13 types relue statiquement; couples modules non audités","À INVENTORIER","NON EXÉCUTÉ","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe","Association de politique ≠ accès réel; admin module_codes et Owner transversal hors liste brute; aucune validation UI/serveur"
"PM-airport-transverse","POR-airport","Expéditions","airport","Profil et organisation autoritatifs; aucun tenant choisi par UI","LOT-transverse","transverse","transverse","/help | /profile","Périmètre candidat du registre frontend; RLS/RPC et permissions effectives NON vérifiés","airport; primary=#0F7A56; sidebar=#1B2A3A; prescrit=false","Lot transverse","src/PrivateApp.tsx:1257 | src/PrivateApp.tsx:278 | src/components/layout/portalThemes.ts | src/lib/platformModuleCatalog.ts | src/lib/routeAccessRegistry.ts","2","DETECTION_AUTOMATIQUE; identité des 13 types relue statiquement; couples modules non audités","À INVENTORIER","NON EXÉCUTÉ","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe","Association de politique ≠ accès réel; admin module_codes et Owner transversal hors liste brute; aucune validation UI/serveur"
"PM-collector-artisan_gold_market","POR-collector","Agent collecteur","collector","organization_id/rattachements autorisés; 2 organismes à tester","LOT-artisan_gold_market","artisan_gold_market","Marché d’or artisanal","/artisan-minier/paiements/:venteId/nouveau | /artisan-minier/paiements/historique | /artisan-minier/paiements/historique/:paiementId | /artisan-minier/rapports/taxes | /artisan-minier/ventes-or | /artisan-minier/ventes-or/:id | /collecte/ventes | /collecte/ventes/nouvelle","Périmètre candidat du registre frontend; RLS/RPC et permissions effectives NON vérifiés","collector; primary=#8B431F; sidebar=#402B25; prescrit=true","Lot marché artisanal et paiements","src/PrivateApp.tsx:330 | src/PrivateApp.tsx:331 | src/PrivateApp.tsx:492 | src/PrivateApp.tsx:510 | src/PrivateApp.tsx:546 | src/PrivateApp.tsx:555 | src/PrivateApp.tsx:564 | src/PrivateApp.tsx:618 | src/components/layout/portalThemes.ts | src/lib/platformModuleCatalog.ts | src/lib/routeAccessRegistry.ts","8","DETECTION_AUTOMATIQUE; identité des 13 types relue statiquement; couples modules non audités","À INVENTORIER","NON EXÉCUTÉ","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe","Association de politique ≠ accès réel; admin module_codes et Owner transversal hors liste brute; aucune validation UI/serveur"
"PM-collector-artisan-minier","POR-collector","Agent collecteur","collector","organization_id/rattachements autorisés; 2 organismes à tester","LOT-artisan-minier","artisan-minier","Artisans miniers","/artisan-minier/:id | /artisan-minier/collecteurs | /artisan-minier/collecteurs/:id | /artisan-minier/liste","Périmètre candidat du registre frontend; RLS/RPC et permissions effectives NON vérifiés","collector; primary=#8B431F; sidebar=#402B25; prescrit=true","Lot artisans et affiliations","src/PrivateApp.tsx:322 | src/PrivateApp.tsx:323 | src/PrivateApp.tsx:438 | src/PrivateApp.tsx:456 | src/components/layout/portalThemes.ts | src/lib/platformModuleCatalog.ts | src/lib/routeAccessRegistry.ts","4","DETECTION_AUTOMATIQUE; identité des 13 types relue statiquement; couples modules non audités","À INVENTORIER","NON EXÉCUTÉ","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe","Association de politique ≠ accès réel; admin module_codes et Owner transversal hors liste brute; aucune validation UI/serveur"
"PM-collector-portal-collector","POR-collector","Agent collecteur","collector","organization_id/rattachements autorisés; 2 organismes à tester","LOT-portal-collector","portal-collector","portal-collector","/portail-collecteur | /portail-collecteur/documents | /portail-collecteur/stock","Périmètre candidat du registre frontend; RLS/RPC et permissions effectives NON vérifiés","collector; primary=#8B431F; sidebar=#402B25; prescrit=true","Lot portal-collector","src/PrivateApp.tsx:332 | src/PrivateApp.tsx:342 | src/PrivateApp.tsx:352 | src/components/layout/portalThemes.ts | src/lib/platformModuleCatalog.ts | src/lib/routeAccessRegistry.ts","3","DETECTION_AUTOMATIQUE; identité des 13 types relue statiquement; couples modules non audités","À INVENTORIER","NON EXÉCUTÉ","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe","Association de politique ≠ accès réel; admin module_codes et Owner transversal hors liste brute; aucune validation UI/serveur"
"PM-collector-transverse","POR-collector","Agent collecteur","collector","organization_id/rattachements autorisés; 2 organismes à tester","LOT-transverse","transverse","transverse","/help | /profile","Périmètre candidat du registre frontend; RLS/RPC et permissions effectives NON vérifiés","collector; primary=#8B431F; sidebar=#402B25; prescrit=true","Lot transverse","src/PrivateApp.tsx:1257 | src/PrivateApp.tsx:278 | src/components/layout/portalThemes.ts | src/lib/platformModuleCatalog.ts | src/lib/routeAccessRegistry.ts","2","DETECTION_AUTOMATIQUE; identité des 13 types relue statiquement; couples modules non audités","À INVENTORIER","NON EXÉCUTÉ","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe","Association de politique ≠ accès réel; admin module_codes et Owner transversal hors liste brute; aucune validation UI/serveur"
"PM-comptoir-artisan_gold_market","POR-comptoir","Comptoir","comptoir","organization_id/rattachements autorisés; 2 organismes à tester","LOT-artisan_gold_market","artisan_gold_market","Marché d’or artisanal","/artisan-minier/paiements | /artisan-minier/paiements/:venteId/nouveau | /artisan-minier/paiements/historique | /artisan-minier/paiements/historique/:paiementId | /artisan-minier/rapports | /artisan-minier/rapports/chiffre-affaires | /artisan-minier/rapports/quantites | /artisan-minier/rapports/taxes | /artisan-minier/ventes-or | /artisan-minier/ventes-or/:id | /artisan-minier/ventes-or/:id/facture | /artisan-minier/ventes-or/:id/modifier | /artisan-minier/ventes-or/nouvelle | /collecte/ventes","Périmètre candidat du registre frontend; RLS/RPC et permissions effectives NON vérifiés","comptoir; primary=#284972; sidebar=#202F46; prescrit=true","Lot marché artisanal et paiements","src/PrivateApp.tsx:330 | src/PrivateApp.tsx:492 | src/PrivateApp.tsx:501 | src/PrivateApp.tsx:510 | src/PrivateApp.tsx:519 | src/PrivateApp.tsx:528 | src/PrivateApp.tsx:537 | src/PrivateApp.tsx:546 | src/PrivateApp.tsx:555 | src/PrivateApp.tsx:564 | src/PrivateApp.tsx:591 | src/PrivateApp.tsx:600 | src/PrivateApp.tsx:609 | src/PrivateApp.tsx:618 | src/components/layout/portalThemes.ts | src/lib/platformModuleCatalog.ts | src/lib/routeAccessRegistry.ts","14","DETECTION_AUTOMATIQUE; identité des 13 types relue statiquement; couples modules non audités","À INVENTORIER","NON EXÉCUTÉ","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe","Association de politique ≠ accès réel; admin module_codes et Owner transversal hors liste brute; aucune validation UI/serveur"
"PM-comptoir-artisan-minier","POR-comptoir","Comptoir","comptoir","organization_id/rattachements autorisés; 2 organismes à tester","LOT-artisan-minier","artisan-minier","Artisans miniers","/artisan-minier/:id | /artisan-minier/collecteurs | /artisan-minier/collecteurs/:id | /artisan-minier/liste","Périmètre candidat du registre frontend; RLS/RPC et permissions effectives NON vérifiés","comptoir; primary=#284972; sidebar=#202F46; prescrit=true","Lot artisans et affiliations","src/PrivateApp.tsx:322 | src/PrivateApp.tsx:323 | src/PrivateApp.tsx:438 | src/PrivateApp.tsx:456 | src/components/layout/portalThemes.ts | src/lib/platformModuleCatalog.ts | src/lib/routeAccessRegistry.ts","4","DETECTION_AUTOMATIQUE; identité des 13 types relue statiquement; couples modules non audités","À INVENTORIER","NON EXÉCUTÉ","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe","Association de politique ≠ accès réel; admin module_codes et Owner transversal hors liste brute; aucune validation UI/serveur"
"PM-comptoir-portal-comptoir","POR-comptoir","Comptoir","comptoir","organization_id/rattachements autorisés; 2 organismes à tester","LOT-portal-comptoir","portal-comptoir","portal-comptoir","/portail-comptoir | /portail-comptoir/stock | /portail-comptoir/ventes-sonasp","Périmètre candidat du registre frontend; RLS/RPC et permissions effectives NON vérifiés","comptoir; primary=#284972; sidebar=#202F46; prescrit=true","Lot portal-comptoir","src/PrivateApp.tsx:362 | src/PrivateApp.tsx:372 | src/PrivateApp.tsx:382 | src/components/layout/portalThemes.ts | src/lib/platformModuleCatalog.ts | src/lib/routeAccessRegistry.ts","3","DETECTION_AUTOMATIQUE; identité des 13 types relue statiquement; couples modules non audités","À INVENTORIER","NON EXÉCUTÉ","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe","Association de politique ≠ accès réel; admin module_codes et Owner transversal hors liste brute; aucune validation UI/serveur"
"PM-comptoir-transverse","POR-comptoir","Comptoir","comptoir","organization_id/rattachements autorisés; 2 organismes à tester","LOT-transverse","transverse","transverse","/help | /profile","Périmètre candidat du registre frontend; RLS/RPC et permissions effectives NON vérifiés","comptoir; primary=#284972; sidebar=#202F46; prescrit=true","Lot transverse","src/PrivateApp.tsx:1257 | src/PrivateApp.tsx:278 | src/components/layout/portalThemes.ts | src/lib/platformModuleCatalog.ts | src/lib/routeAccessRegistry.ts","2","DETECTION_AUTOMATIQUE; identité des 13 types relue statiquement; couples modules non audités","À INVENTORIER","NON EXÉCUTÉ","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe","Association de politique ≠ accès réel; admin module_codes et Owner transversal hors liste brute; aucune validation UI/serveur"
"PM-customer-dashboard","POR-customer","Client","customer","Profil et organisation autoritatifs; aucun tenant choisi par UI","LOT-dashboard","dashboard","Tableau de bord","/dashboard/customer","Périmètre candidat du registre frontend; RLS/RPC et permissions effectives NON vérifiés","customer; primary=#475A6A; sidebar=#29353F; prescrit=true","Lot pilotage national","src/PrivateApp.tsx:1833 | src/components/layout/portalThemes.ts | src/lib/platformModuleCatalog.ts | src/lib/routeAccessRegistry.ts","1","DETECTION_AUTOMATIQUE; identité des 13 types relue statiquement; couples modules non audités","À INVENTORIER","NON EXÉCUTÉ","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe","Association de politique ≠ accès réel; admin module_codes et Owner transversal hors liste brute; aucune validation UI/serveur"
"PM-customer-international_markets","POR-customer","Client","customer","Profil et organisation autoritatifs; aucun tenant choisi par UI","LOT-international_markets","international_markets","Marchés internationaux","/fx-rates | /gold-prices","Périmètre candidat du registre frontend; RLS/RPC et permissions effectives NON vérifiés","customer; primary=#475A6A; sidebar=#29353F; prescrit=true","Lot international_markets","src/PrivateApp.tsx:1239 | src/PrivateApp.tsx:1248 | src/components/layout/portalThemes.ts | src/lib/platformModuleCatalog.ts | src/lib/routeAccessRegistry.ts","2","DETECTION_AUTOMATIQUE; identité des 13 types relue statiquement; couples modules non audités","À INVENTORIER","NON EXÉCUTÉ","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe","Association de politique ≠ accès réel; admin module_codes et Owner transversal hors liste brute; aucune validation UI/serveur"
"PM-customer-reports","POR-customer","Client","customer","Profil et organisation autoritatifs; aucun tenant choisi par UI","LOT-reports","reports","Rapports institutionnels","/reports","Périmètre candidat du registre frontend; RLS/RPC et permissions effectives NON vérifiés","customer; primary=#475A6A; sidebar=#29353F; prescrit=true","Lot reports","src/PrivateApp.tsx:1626 | src/components/layout/portalThemes.ts | src/lib/platformModuleCatalog.ts | src/lib/routeAccessRegistry.ts","1","DETECTION_AUTOMATIQUE; identité des 13 types relue statiquement; couples modules non audités","À INVENTORIER","NON EXÉCUTÉ","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe","Association de politique ≠ accès réel; admin module_codes et Owner transversal hors liste brute; aucune validation UI/serveur"
"PM-customer-sales","POR-customer","Client","customer","Profil et organisation autoritatifs; aucun tenant choisi par UI","LOT-sales","sales","Vente d’or international","/payments | /payments/:id | /payments/create | /payments/record | /payments/virtual | /sales | /sales/:id | /sales/approve/:saleId | /sales/approve/:saleId/:token","Périmètre candidat du registre frontend; RLS/RPC et permissions effectives NON vérifiés","customer; primary=#475A6A; sidebar=#29353F; prescrit=true","Lot ventes internationales et paiements","src/PrivateApp.tsx:1433 | src/PrivateApp.tsx:1478 | src/PrivateApp.tsx:1487 | src/PrivateApp.tsx:1496 | src/PrivateApp.tsx:1554 | src/PrivateApp.tsx:1563 | src/PrivateApp.tsx:1572 | src/PrivateApp.tsx:1581 | src/PrivateApp.tsx:735 | src/components/layout/portalThemes.ts | src/lib/platformModuleCatalog.ts | src/lib/routeAccessRegistry.ts","9","DETECTION_AUTOMATIQUE; identité des 13 types relue statiquement; couples modules non audités","À INVENTORIER","NON EXÉCUTÉ","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe","Association de politique ≠ accès réel; admin module_codes et Owner transversal hors liste brute; aucune validation UI/serveur"
"PM-customer-transverse","POR-customer","Client","customer","Profil et organisation autoritatifs; aucun tenant choisi par UI","LOT-transverse","transverse","transverse","/help | /profile","Périmètre candidat du registre frontend; RLS/RPC et permissions effectives NON vérifiés","customer; primary=#475A6A; sidebar=#29353F; prescrit=true","Lot transverse","src/PrivateApp.tsx:1257 | src/PrivateApp.tsx:278 | src/components/layout/portalThemes.ts | src/lib/platformModuleCatalog.ts | src/lib/routeAccessRegistry.ts","2","DETECTION_AUTOMATIQUE; identité des 13 types relue statiquement; couples modules non audités","À INVENTORIER","NON EXÉCUTÉ","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe","Association de politique ≠ accès réel; admin module_codes et Owner transversal hors liste brute; aucune validation UI/serveur"
"PM-dgi-artisan_gold_market","POR-dgi","Finances · DGI","dgi","organization_id + organization_type=dgi","LOT-artisan_gold_market","artisan_gold_market","Marché d’or artisanal","/artisan-minier/rapports/taxes | /artisan-minier/ventes-or | /artisan-minier/ventes-or/:id | /portail-dgi/paiements","Périmètre candidat du registre frontend; RLS/RPC et permissions effectives NON vérifiés","dgi; primary=#0B665C; sidebar=#123C3C; prescrit=true","Lot marché artisanal et paiements","src/PrivateApp.tsx:314 | src/PrivateApp.tsx:492 | src/PrivateApp.tsx:510 | src/PrivateApp.tsx:618 | src/components/layout/portalThemes.ts | src/lib/platformModuleCatalog.ts | src/lib/routeAccessRegistry.ts","4","DETECTION_AUTOMATIQUE; identité des 13 types relue statiquement; couples modules non audités","À INVENTORIER","NON EXÉCUTÉ","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe","Association de politique ≠ accès réel; admin module_codes et Owner transversal hors liste brute; aucune validation UI/serveur"
"PM-dgi-conciliation","POR-dgi","Finances · DGI","dgi","organization_id + organization_type=dgi","LOT-conciliation","conciliation","Conciliation","/conciliation | /conciliation/:id | /conciliation/regles-fiscales","Périmètre candidat du registre frontend; RLS/RPC et permissions effectives NON vérifiés","dgi; primary=#0B665C; sidebar=#123C3C; prescrit=true","Lot conciliation","src/PrivateApp.tsx:840 | src/PrivateApp.tsx:851 | src/PrivateApp.tsx:862 | src/components/layout/portalThemes.ts | src/lib/platformModuleCatalog.ts | src/lib/routeAccessRegistry.ts","3","DETECTION_AUTOMATIQUE; identité des 13 types relue statiquement; couples modules non audités","À INVENTORIER","NON EXÉCUTÉ","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe","Association de politique ≠ accès réel; admin module_codes et Owner transversal hors liste brute; aucune validation UI/serveur"
"PM-dgi-portal-dgi","POR-dgi","Finances · DGI","dgi","organization_id + organization_type=dgi","LOT-portal-dgi","portal-dgi","portal-dgi","/portail-dgi | /portail-dgi/*","Périmètre candidat du registre frontend; RLS/RPC et permissions effectives NON vérifiés","dgi; primary=#0B665C; sidebar=#123C3C; prescrit=true","Lot portal-dgi","src/PrivateApp.tsx:306 | src/components/layout/portalThemes.ts | src/lib/platformModuleCatalog.ts | src/lib/routeAccessRegistry.ts | src/lib/routeAccessRegistry.ts:112","2","DETECTION_AUTOMATIQUE; identité des 13 types relue statiquement; couples modules non audités","À INVENTORIER","NON EXÉCUTÉ","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe","Association de politique ≠ accès réel; admin module_codes et Owner transversal hors liste brute; aucune validation UI/serveur"
"PM-dgi-production","POR-dgi","Finances · DGI","dgi","organization_id + organization_type=dgi","LOT-production","production","Collecte de l’or","/production/:id | /production/daily | /production/in-safe","Périmètre candidat du registre frontend; RLS/RPC et permissions effectives NON vérifiés","dgi; primary=#0B665C; sidebar=#123C3C; prescrit=true","Lot production industrielle","src/PrivateApp.tsx:1635 | src/PrivateApp.tsx:1644 | src/PrivateApp.tsx:974 | src/components/layout/portalThemes.ts | src/lib/platformModuleCatalog.ts | src/lib/routeAccessRegistry.ts","3","DETECTION_AUTOMATIQUE; identité des 13 types relue statiquement; couples modules non audités","À INVENTORIER","NON EXÉCUTÉ","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe","Association de politique ≠ accès réel; admin module_codes et Owner transversal hors liste brute; aucune validation UI/serveur"
"PM-dgi-transverse","POR-dgi","Finances · DGI","dgi","organization_id + organization_type=dgi","LOT-transverse","transverse","transverse","/help | /profile","Périmètre candidat du registre frontend; RLS/RPC et permissions effectives NON vérifiés","dgi; primary=#0B665C; sidebar=#123C3C; prescrit=true","Lot transverse","src/PrivateApp.tsx:1257 | src/PrivateApp.tsx:278 | src/components/layout/portalThemes.ts | src/lib/platformModuleCatalog.ts | src/lib/routeAccessRegistry.ts","2","DETECTION_AUTOMATIQUE; identité des 13 types relue statiquement; couples modules non audités","À INVENTORIER","NON EXÉCUTÉ","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe","Association de politique ≠ accès réel; admin module_codes et Owner transversal hors liste brute; aucune validation UI/serveur"
"PM-dgmg-artisan_gold_market","POR-dgmg","Mines · DGMG","dgmg","organization_id + organization_type=dgmg","LOT-artisan_gold_market","artisan_gold_market","Marché d’or artisanal","/collecte/ventes","Périmètre candidat du registre frontend; RLS/RPC et permissions effectives NON vérifiés","dgmg; primary=#1F5070; sidebar=#153447; prescrit=true","Lot marché artisanal et paiements","src/PrivateApp.tsx:330 | src/components/layout/portalThemes.ts | src/lib/platformModuleCatalog.ts | src/lib/routeAccessRegistry.ts","1","DETECTION_AUTOMATIQUE; identité des 13 types relue statiquement; couples modules non audités","À INVENTORIER","NON EXÉCUTÉ","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe","Association de politique ≠ accès réel; admin module_codes et Owner transversal hors liste brute; aucune validation UI/serveur"
"PM-dgmg-artisan-minier","POR-dgmg","Mines · DGMG","dgmg","organization_id + organization_type=dgmg","LOT-artisan-minier","artisan-minier","Artisans miniers","/artisan-minier/:id | /artisan-minier/:id/edit | /artisan-minier/collecteurs | /artisan-minier/collecteurs/:id | /artisan-minier/collecteurs/:id/modifier | /artisan-minier/collecteurs/nouveau | /artisan-minier/comptoirs | /artisan-minier/comptoirs/:id | /artisan-minier/comptoirs/:id/modifier | /artisan-minier/comptoirs/nouveau | /artisan-minier/liste","Périmètre candidat du registre frontend; RLS/RPC et permissions effectives NON vérifiés","dgmg; primary=#1F5070; sidebar=#153447; prescrit=true","Lot artisans et affiliations","src/PrivateApp.tsx:322 | src/PrivateApp.tsx:323 | src/PrivateApp.tsx:324 | src/PrivateApp.tsx:325 | src/PrivateApp.tsx:326 | src/PrivateApp.tsx:327 | src/PrivateApp.tsx:328 | src/PrivateApp.tsx:329 | src/PrivateApp.tsx:438 | src/PrivateApp.tsx:456 | src/PrivateApp.tsx:465 | src/components/layout/portalThemes.ts | src/lib/platformModuleCatalog.ts | src/lib/routeAccessRegistry.ts","11","DETECTION_AUTOMATIQUE; identité des 13 types relue statiquement; couples modules non audités","À INVENTORIER","NON EXÉCUTÉ","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe","Association de politique ≠ accès réel; admin module_codes et Owner transversal hors liste brute; aucune validation UI/serveur"
"PM-dgmg-mining_sites","POR-dgmg","Mines · DGMG","dgmg","organization_id + organization_type=dgmg","LOT-mining_sites","mining_sites","Sites artisanaux","/artisan-sites | /artisan-sites/:siteId | /artisan-sites/:siteId/modifier | /artisan-sites/nouveau | /artisan-sites/production","Périmètre candidat du registre frontend; RLS/RPC et permissions effectives NON vérifiés","dgmg; primary=#1F5070; sidebar=#153447; prescrit=true","Lot sites artisanaux","src/PrivateApp.tsx:744 | src/PrivateApp.tsx:753 | src/PrivateApp.tsx:754 | src/PrivateApp.tsx:763 | src/PrivateApp.tsx:772 | src/components/layout/portalThemes.ts | src/lib/platformModuleCatalog.ts | src/lib/routeAccessRegistry.ts","5","DETECTION_AUTOMATIQUE; identité des 13 types relue statiquement; couples modules non audités","À INVENTORIER","NON EXÉCUTÉ","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe","Association de politique ≠ accès réel; admin module_codes et Owner transversal hors liste brute; aucune validation UI/serveur"
"PM-dgmg-national_reserve","POR-dgmg","Mines · DGMG","dgmg","organization_id + organization_type=dgmg","LOT-national_reserve","national_reserve","Réserve nationale","/portail-dgmg/reserve-validations","Périmètre candidat du registre frontend; RLS/RPC et permissions effectives NON vérifiés","dgmg; primary=#1F5070; sidebar=#153447; prescrit=true","Lot réserve nationale","src/PrivateApp.tsx:298 | src/components/layout/portalThemes.ts | src/lib/platformModuleCatalog.ts | src/lib/routeAccessRegistry.ts","1","DETECTION_AUTOMATIQUE; identité des 13 types relue statiquement; couples modules non audités","À INVENTORIER","NON EXÉCUTÉ","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe","Association de politique ≠ accès réel; admin module_codes et Owner transversal hors liste brute; aucune validation UI/serveur"
"PM-dgmg-portal-dgmg","POR-dgmg","Mines · DGMG","dgmg","organization_id + organization_type=dgmg","LOT-portal-dgmg","portal-dgmg","portal-dgmg","/portail-dgmg | /portail-dgmg/*","Périmètre candidat du registre frontend; RLS/RPC et permissions effectives NON vérifiés","dgmg; primary=#1F5070; sidebar=#153447; prescrit=true","Lot portal-dgmg","src/PrivateApp.tsx:290 | src/components/layout/portalThemes.ts | src/lib/platformModuleCatalog.ts | src/lib/routeAccessRegistry.ts | src/lib/routeAccessRegistry.ts:104","2","DETECTION_AUTOMATIQUE; identité des 13 types relue statiquement; couples modules non audités","À INVENTORIER","NON EXÉCUTÉ","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe","Association de politique ≠ accès réel; admin module_codes et Owner transversal hors liste brute; aucune validation UI/serveur"
"PM-dgmg-production","POR-dgmg","Mines · DGMG","dgmg","organization_id + organization_type=dgmg","LOT-production","production","Collecte de l’or","/production/:id | /production/daily | /production/in-safe","Périmètre candidat du registre frontend; RLS/RPC et permissions effectives NON vérifiés","dgmg; primary=#1F5070; sidebar=#153447; prescrit=true","Lot production industrielle","src/PrivateApp.tsx:1635 | src/PrivateApp.tsx:1644 | src/PrivateApp.tsx:974 | src/components/layout/portalThemes.ts | src/lib/platformModuleCatalog.ts | src/lib/routeAccessRegistry.ts","3","DETECTION_AUTOMATIQUE; identité des 13 types relue statiquement; couples modules non audités","À INVENTORIER","NON EXÉCUTÉ","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe","Association de politique ≠ accès réel; admin module_codes et Owner transversal hors liste brute; aucune validation UI/serveur"
"PM-dgmg-stakeholders","POR-dgmg","Mines · DGMG","dgmg","organization_id + organization_type=dgmg","LOT-stakeholders","stakeholders","Parties prenantes","/stakeholders/mining-companies | /stakeholders/mining-companies/:id | /stakeholders/mining-companies/:id/edit | /stakeholders/mining-companies/new | /stakeholders/organizations | /stakeholders/organizations/:id/edit | /stakeholders/organizations/new","Périmètre candidat du registre frontend; RLS/RPC et permissions effectives NON vérifiés","dgmg; primary=#1F5070; sidebar=#153447; prescrit=true","Lot référentiels (root pilote Clients)","src/PrivateApp.tsx:1689 | src/PrivateApp.tsx:1698 | src/PrivateApp.tsx:1707 | src/PrivateApp.tsx:1716 | src/PrivateApp.tsx:1725 | src/PrivateApp.tsx:1734 | src/PrivateApp.tsx:1743 | src/components/layout/portalThemes.ts | src/lib/platformModuleCatalog.ts | src/lib/routeAccessRegistry.ts","7","DETECTION_AUTOMATIQUE; identité des 13 types relue statiquement; couples modules non audités","À INVENTORIER","NON EXÉCUTÉ","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe","Association de politique ≠ accès réel; admin module_codes et Owner transversal hors liste brute; aucune validation UI/serveur"
"PM-dgmg-transverse","POR-dgmg","Mines · DGMG","dgmg","organization_id + organization_type=dgmg","LOT-transverse","transverse","transverse","/help | /profile","Périmètre candidat du registre frontend; RLS/RPC et permissions effectives NON vérifiés","dgmg; primary=#1F5070; sidebar=#153447; prescrit=true","Lot transverse","src/PrivateApp.tsx:1257 | src/PrivateApp.tsx:278 | src/components/layout/portalThemes.ts | src/lib/platformModuleCatalog.ts | src/lib/routeAccessRegistry.ts","2","DETECTION_AUTOMATIQUE; identité des 13 types relue statiquement; couples modules non audités","À INVENTORIER","NON EXÉCUTÉ","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe","Association de politique ≠ accès réel; admin module_codes et Owner transversal hors liste brute; aucune validation UI/serveur"
